АБДОМИНОПЛАСТИКА	144594-N	КОСМЕТИЧЕСКАЯ ОПЕРАЦИЯ
АБДОМИНОПЛАСТИКА	5390-N	ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ
АБДОМИНОПЛАСТИКА	113873-N	ПЛАСТИЧЕСКАЯ ОПЕРАЦИЯ
АБДОМИНОПЛАСТИКА	118950-N	КРАСОТА, КРАСА
АБДОМИНОПЛАСТИКА	113275-N	КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ, ПРИГОДНОСТИ)
АБСОРБЕНТ	106938-N	ПЕРЕМЕСТИТЬ
АБСОРБЕНТ	115221-N	ВОБРАТЬ В СЕБЯ
АБСОРБЕНТ	115222-N	ПОГЛОТИТЬ (ВОБРАТЬ)
АВАЛЬ	109657-N	ПРАЗДНЕСТВО
АВАЛЬ	106501-N	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АВАЛЬ	154391-N	МЕРОПРИЯТИЕ, СОБЫТИЕ
АВАЛЬ	153471-N	ПРОИСХОДЯЩАЯ СУЩНОСТЬ
АВТАРКИЯ	119423-N	БЕЗДЕЯТЕЛЬНЫЙ
АВТАРКИЯ	106924-N	ЧЕРТА ХАРАКТЕРА
АВТАРКИЯ	119425-N	ВЯЛЫЙ (ЛИШЕННЫЙ БОДРОСТИ, ЭНЕРГИИ)
АВТАРКИЯ	3289-N	САМОУПРАВЛЕНИЕ
АВТАРКИЯ	120138-N	ТИП, ВИД, КЛАСС
АВТАРКИЯ	7984-N	ФОРМА ПРАВЛЕНИЯ
АГНОСТИК	106709-N	УЗНАТЬ, ПОЛУЧИТЬ СВЕДЕНИЯ
АГНОСТИК	106710-N	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
АГНОСТИК	146896-N	ДИАГНОСТИКА ПРОБЛЕМ
АГНОСТИК	118698-N	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АГНОСТИК	153471-N	ПРОИСХОДЯЩАЯ СУЩНОСТЬ
АГНОСТИК	116120-N	ТЕСТИРОВАНИЕ
АГНОСТИК	106690-N	ИСПЫТАТЬ, ПРОВЕРИТЬ
АДЖИКА	7739-N	ЭТНИЧЕСКАЯ ОБЩНОСТЬ
АДЖИКА	139862-N	ТИТУЛЬНЫЙ НАРОД
АДЖИКА	100046-N	ЭТНИЧЕСКИЕ НАРОДЫ
АДЖИКА	139946-N	СОЦИАЛЬНАЯ ОБЩНОСТЬ
АДЖИКА	106627-N	ГРУППА ЛЮДЕЙ
АДЪЮНКТУРА	153782-N	ПОСТОЯННАЯ СУЩНОСТЬ
АДЪЮНКТУРА	106446-N	ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ
АДЪЮНКТУРА	143193-N	ЭКОНОМИЧЕСКОЕ ПОЛОЖЕНИЕ
АДЪЮНКТУРА	116548-N	КОНЪЮНКТУРА
АЙПАД	111-N	ПРИРОДНОЕ ЯВЛЕНИЕ
АЙПАД	153471-N	ПРОИСХОДЯЩАЯ СУЩНОСТЬ
АЙПАД	106549-N	СОБЫТИЕ, ФАКТ
АЙПАД	137421-N	НИЗВЕРГНУТЬСЯ, ОБРУШИТЬСЯ
АЙПАД	117225-N	ОБРУШИТЬСЯ, ОБВАЛИТЬСЯ
АЙПАД	266-N	СТИХИЙНОЕ БЕДСТВИЕ
АЙПАД	3061-N	БЕДСТВИЕ
АЙПАД	145252-N	ОБВАЛ ПОРОДЫ
АЙПАД	111031-N	ВАЛИТЬСЯ
АЙПАД	106593-N	КАТАСТРОФА
АКВАБАЙК	113644-N	ЕЗДОК
АКВАБАЙК	5577-N	МОТОЦИКЛИСТ
АКВАБАЙК	161-N	ВОДИТЕЛЬ АВТОТРАНСПОРТА
АКВАБАЙК	2052-N	АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА
АКВАБАЙК	149182-N	ПУБЛИЧНО-ПРАВОВОЕ ОБРАЗОВАНИЕ
АКВАБАЙК	242-N	ГОРОД
АКВАБАЙК	149189-N	СУБЪЕКТ ПРАВА
АКВАБАЙК	145516-N	ГОРОДСКОЕ ПОСЕЛЕНИЕ
АКВАБАЙК	123680-N	МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ
АКВЕДУК	4160-N	МОСТ
АКВЕДУК	4161-N	ДОРОЖНОЕ СООРУЖЕНИЕ
АКВЕДУК	4263-N	ПУТЕПРОВОД
АКВЕДУК	106508-N	СОВОКУПНОСТЬ, ЦЕЛОЕ
АКВЕДУК	6489-N	ВОДОХОЗЯЙСТВЕННОЕ СООРУЖЕНИЕ
АКВЕДУК	6485-N	ИНЖЕНЕРНЫЕ КОММУНИКАЦИИ
АКВЕДУК	3639-N	ИНЖЕНЕРНОЕ СООРУЖЕНИЕ
АКВЕДУК	6486-N	КОММУНИКАЦИОННАЯ ИНФРАСТРУКТУРА
АКВЕДУК	115790-N	СИСТЕМА (ОРГАНИЗОВАННОЕ ЦЕЛОЕ)
АКСЕЛЬБАНТ	108802-N	ПОЛОСКА ТКАНИ
АКСЕЛЬБАНТ	109346-N	ЛЕНТА ИЗ ТКАНИ
АКСЕЛЬБАНТ	107131-N	КУСОК (ОТДЕЛЬНАЯ ЧАСТЬ)
АКСЕЛЬБАНТ	106509-N	СОСТАВНАЯ ЧАСТЬ
АКСЕЛЬБАНТ	107608-N	УКРАШЕНИЕ (ПРЕДМЕТ)
АКСЕЛЬБАНТ	106554-N	ПРЕДМЕТ, ВЕЩЬ
АКСЕЛЬБАНТ	153947-N	ПОЛОСА (КУСОК)
АКСЕЛЬБАНТ	107478-N	ЛЕНТА (УЗКАЯ ПОЛОСА)
АКТИРОВАНИЕ	118698-N	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АКТИРОВАНИЕ	153471-N	ПРОИСХОДЯЩАЯ СУЩНОСТЬ
АКТИРОВАНИЕ	116009-N	ЗАПРЕТИТЬ (НЕ ПОЗВОЛИТЬ)
АКТИРОВАНИЕ	106456-N	ВЫРАЗИТЬ (ПОКАЗАТЬ)
АКТИРОВАНИЕ	106877-N	ВЫСКАЗАТЬ МНЕНИЕ
АКТИРОВАНИЕ	106542-N	СООБЩИТЬ, УВЕДОМИТЬ
АКТИРОВАНИЕ	146664-N	ДЕЙСТВИЕ ЧЕЛОВЕКА
АКТИРОВАНИЕ	153350-N	ВОЛЕИЗЪЯВЛЕНИЕ
АКТИРОВАНИЕ	106457-N	ПОКАЗАТЬ, СДЕЛАТЬ ЯВНЫМ, ВИДИМЫМ
АКТИРОВАНИЕ	106876-N	ВЫСКАЗАТЬ
АЛАВИТ	5591-N	ПРИРОДНО-ГЕОГРАФИЧЕСКАЯ ЗОНА
АЛАВИТ	5657-N	ГОРНАЯ МЕСТНОСТЬ
АЛАВИТ	107508-N	ЗОНА
АЛАВИТ	107135-N	ТЕРРИТОРИЯ, УЧАСТОК
АЛЕКСАНДРИТ	2052-N	АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА
АЛЕКСАНДРИТ	149182-N	ПУБЛИЧНО-ПРАВОВОЕ ОБРАЗОВАНИЕ
АЛЕКСАНДРИТ	242-N	ГОРОД
АЛЕКСАНДРИТ	149189-N	СУБЪЕКТ ПРАВА
АЛЕКСАНДРИТ	145516-N	ГОРОДСКОЕ ПОСЕЛЕНИЕ
