АДСОРБИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АДСОРБИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АДСОРБИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АДСОРБИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АДСОРБИРОВАТЬ	120784-V	ПОЛУЧИТЬ (ДОБЫТЬ, ПРОИЗВЕСТИ)
АДСОРБИРОВАТЬ	106632-V	УЛУЧШИТЬ
АДСОРБИРОВАТЬ	106785-V	ПРЕОБРАЗОВАТЬ, ПЕРЕДЕЛАТЬ
АДСОРБИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АДСОРБИРОВАТЬ	106477-V	ПОЯВИТЬСЯ, ВОЗНИКНУТЬ, НАЧАТЬСЯ
АДСОРБИРОВАТЬ	116549-V	КОПИТЬ, НАКАПЛИВАТЬ
АКАТЬ	107093-V	ИЗДАТЬ ЗВУК
АКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АКАТЬ	106876-V	ВЫСКАЗАТЬ
АКАТЬ	114103-V	ИЗДАВАТЬ, ИСПУСКАТЬ
АКАТЬ	107196-V	ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ
АКАТЬ	106933-V	ГЛОТАТЬ ВНУТРЬ СЕБЯ
АКАТЬ	110719-V	ЛИТЬ ЖИДКОСТЬ
АКАТЬ	120904-V	ВЫСТУПИТЬ НАРУЖУ
АКАТЬ	116102-V	НАДОЕСТЬ
АКАТЬ	115752-V	ЖАЛОВАТЬСЯ (ВЫСКАЗЫВАТЬ НЕУДОВОЛЬСТВИЕ)
АКТИРОВАТЬ	111985-V	ПОДПИСАТЬ, СТАВИТЬ ПОДПИСЬ
АКТИРОВАТЬ	106878-V	ОДОБРИТЬ
АКТИРОВАТЬ	106695-V	ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ
АКТИРОВАТЬ	111361-V	ИСПРАВИТЬ НЕДОСТАТКИ, ОШИБКИ
АКТИРОВАТЬ	111360-V	УСТРАНИТЬ (УНИЧТОЖИТЬ)
АКТИРОВАТЬ	111362-V	ИСПРАВИТЬ (УЛУЧШИТЬ)
АКТИРОВАТЬ	106632-V	УЛУЧШИТЬ
АКТИРОВАТЬ	106607-V	УПРАВЛЯТЬ, РУКОВОДИТЬ
АКТИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АКТИРОВАТЬ	114502-V	НАВЕСТИ НА ЦЕЛЬ
АЛЕТЬ	111001-V	ВИДНЕТЬСЯ
АЛЕТЬ	110416-V	ИЗМЕНЯТЬСЯ В ЦВЕТЕ
АЛЕТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АЛЕТЬ	113005-V	СВЕТИТЬСЯ, ИЗЛУЧАТЬ СВЕТ
АЛЕТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АЛЕТЬ	113004-V	ИЗЛУЧАТЬ, ИСПУСКАТЬ ЛУЧИ
АЛЕТЬ	113413-V	ГОРЕТЬ, СГОРАТЬ
АЛЕТЬ	111004-V	КРАСНЕТЬ (ВИДНЕТЬСЯ)
