АДСОРБИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АДСОРБИРОВАТЬ	114441-V	ОЧИСТИТЬ ОТ ПРИСУТСТВИЯ
АДСОРБИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АДСОРБИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АДСОРБИРОВАТЬ	106483-V	УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ
АДСОРБИРОВАТЬ	120784-V	ПОЛУЧИТЬ (ДОБЫТЬ, ПРОИЗВЕСТИ)
АДСОРБИРОВАТЬ	128431-V	ОБЕЗВРЕДИТЬ
АДСОРБИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АДСОРБИРОВАТЬ	106477-V	ПОЯВИТЬСЯ, ВОЗНИКНУТЬ, НАЧАТЬСЯ
АДСОРБИРОВАТЬ	106632-V	УЛУЧШИТЬ
АКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АКАТЬ	106876-V	ВЫСКАЗАТЬ
АКАТЬ	107093-V	ИЗДАТЬ ЗВУК
АКАТЬ	107190-V	РУГАТЬ
АКАТЬ	115751-V	ОШИБИТЬСЯ
АКАТЬ	106504-V	ПОСТУПОК ЧЕЛОВЕКА
АКАТЬ	111369-V	ПОРТИТЬ, ДЕЛАТЬ ПЛОХИМ
АКАТЬ	112044-V	ПОДРАЖАТЬ
АКАТЬ	115880-V	ВЫДЕЛИТЬ, ОТЛИЧИТЬ ОТ ОСТАЛЬНЫХ
АКАТЬ	114501-V	НАПРАВИТЬ, УСТРЕМИТЬ
АКТИРОВАТЬ	126241-V	ЗАПИСАТЬ, ЗАФИКСИРОВАТЬ НА БУМАГЕ
АКТИРОВАТЬ	118736-V	ОТНЕСТИ К ЧИСЛУ
АКТИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АКТИРОВАТЬ	868-V	УВОЛЬНЕНИЕ С РАБОТЫ
АКТИРОВАТЬ	135157-V	СПИСАНИЕ ЗАТРАТ
АКТИРОВАТЬ	151609-V	БРАКОВАТЬ, ПРИЗНАТЬ НЕГОДНЫМ
АКТИРОВАТЬ	115033-V	ОЦЕНИТЬ, ДАТЬ ОЦЕНКУ
АКТИРОВАТЬ	149274-V	ОЦЕНКА КАЧЕСТВА
АКТИРОВАТЬ	7142-V	УВОЛЬНЕНИЕ С ВОЕННОЙ СЛУЖБЫ
АКТИРОВАТЬ	107003-V	ПИСАТЬ, ИЗОБРАЖАТЬ ГРАФИЧЕСКИЕ ЗНАКИ
АЛЕТЬ	111001-V	ВИДНЕТЬСЯ
АЛЕТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АЛЕТЬ	110416-V	ИЗМЕНЯТЬСЯ В ЦВЕТЕ
АЛЕТЬ	113005-V	СВЕТИТЬСЯ, ИЗЛУЧАТЬ СВЕТ
АЛЕТЬ	111004-V	КРАСНЕТЬ (ВИДНЕТЬСЯ)
АЛЕТЬ	113004-V	ИЗЛУЧАТЬ, ИСПУСКАТЬ ЛУЧИ
АЛЕТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АЛЕТЬ	113413-V	ГОРЕТЬ, СГОРАТЬ
АЛЕТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
АЛЕТЬ	148998-V	ПРОЯВЛЕНИЕ ЧУВСТВ
АННИГИЛИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АННИГИЛИРОВАТЬ	112155-V	ИСЧЕЗНУТЬ (ПЕРЕСТАТЬ СУЩЕСТВОВАТЬ)
АННИГИЛИРОВАТЬ	106483-V	УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ
АННИГИЛИРОВАТЬ	133878-V	УНИЧТОЖИТЬСЯ
АННИГИЛИРОВАТЬ	111994-V	ДЕЛИТЬСЯ НА ЧАСТИ
АННИГИЛИРОВАТЬ	114441-V	ОЧИСТИТЬ ОТ ПРИСУТСТВИЯ
АННИГИЛИРОВАТЬ	128431-V	ОБЕЗВРЕДИТЬ
АННИГИЛИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АННИГИЛИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АННИГИЛИРОВАТЬ	106531-V	ПРЕКРАТИТЬ, ПОЛОЖИТЬ КОНЕЦ
АННОТИРОВАТЬ	1885-V	РАСПРОСТРАНЕНИЕ ИНФОРМАЦИИ
АННОТИРОВАТЬ	106585-V	РАСПОЛОЖИТЬ, РАЗМЕСТИТЬ
АННОТИРОВАТЬ	107668-V	СОЧИНИТЬ ПРОИЗВЕДЕНИЕ
АННОТИРОВАТЬ	145152-V	ОБРАБОТКА ИНФОРМАЦИИ
АННОТИРОВАТЬ	106542-V	СООБЩИТЬ, УВЕДОМИТЬ
АННОТИРОВАТЬ	107002-V	ИЗОБРАЗИТЬ (ВОСПРОИЗВЕСТИ)
АННОТИРОВАТЬ	106876-V	ВЫСКАЗАТЬ
АННОТИРОВАТЬ	141561-V	СОПРОВОЖДАТЬ (ДОПОЛНИТЬ)
АННОТИРОВАТЬ	107005-V	РИСОВАТЬ, ДЕЛАТЬ РИСУНОК
АННОТИРОВАТЬ	110447-V	ВОСПРОИЗВЕСТИ (ВОССОЗДАТЬ, ПОВТОРИТЬ В КОПИИ)
АУКАТЬСЯ	107104-V	КРИЧАТЬ, ИЗДАВАТЬ КРИК
АУКАТЬСЯ	107093-V	ИЗДАТЬ ЗВУК
АУКАТЬСЯ	137784-V	ОБМЕНЯТЬСЯ (ВЗАИМНО СДЕЛАТЬ)
АУКАТЬСЯ	112933-V	ОТВЕТИТЬ, ПОСТУПИТЬ В ОТВЕТ
АУКАТЬСЯ	106876-V	ВЫСКАЗАТЬ
АУКАТЬСЯ	111611-V	ВЛИЯТЬ, ВОЗДЕЙСТВОВАТЬ
АУКАТЬСЯ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АУКАТЬСЯ	106477-V	ПОЯВИТЬСЯ, ВОЗНИКНУТЬ, НАЧАТЬСЯ
АУКАТЬСЯ	106478-V	ПРОИЗОЙТИ, СЛУЧИТЬСЯ
АУКАТЬСЯ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
БЕРЕДИТЬ	149898-V	ВЫЗВАТЬ МЫСЛЬ, ЧУВСТВО
БЕРЕДИТЬ	114664-V	ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ
БЕРЕДИТЬ	110479-V	ПРИЧИНИТЬ
БЕРЕДИТЬ	110474-V	ВЫЗВАТЬ, ПОРОДИТЬ
БЕРЕДИТЬ	118499-V	ВСПОМНИТЬ, ВОЗОБНОВИТЬ В ПАМЯТИ
БЕРЕДИТЬ	107281-V	МУКА, СТРАДАНИЕ, МУЧЕНИЕ
БЕРЕДИТЬ	106565-V	САМОЧУВСТВИЕ
БЕРЕДИТЬ	116921-V	ПЕРЕЖИТЬ, ИСПЫТАТЬ
БЕРЕДИТЬ	106473-V	ОБУСЛАВЛИВАТЬ, СПОСОБСТВОВАТЬ
БЕРЕДИТЬ	115102-V	МУЧИТЬ
БИЧЕВАТЬ	112963-V	ОСУДИТЬ, ВЫРАЗИТЬ НЕОДОБРЕНИЕ
БИЧЕВАТЬ	106877-V	ВЫСКАЗАТЬ МНЕНИЕ
БИЧЕВАТЬ	115208-V	ОСКОРБИТЬ
БИЧЕВАТЬ	115212-V	ПОЗОРИТЬ, ПОРОЧИТЬ
БИЧЕВАТЬ	133925-V	ПОРТИТЬ РЕПУТАЦИЮ
БИЧЕВАТЬ	106809-V	УПРЕКАТЬ, УКОРЯТЬ
БИЧЕВАТЬ	120088-V	РАЗОБЛАЧИТЬ (РАСКРЫТЬ)
БИЧЕВАТЬ	112933-V	ОТВЕТИТЬ, ПОСТУПИТЬ В ОТВЕТ
БИЧЕВАТЬ	107190-V	РУГАТЬ
БИЧЕВАТЬ	111611-V	ВЛИЯТЬ, ВОЗДЕЙСТВОВАТЬ
БЛОКИРОВАТЬСЯ	106704-V	МЕШАТЬ, СОЗДАВАТЬ ПРЕПЯТСТВИЕ
БЛОКИРОВАТЬСЯ	119562-V	ПРЕГРАДИТЬ, МЕШАТЬ ДВИЖЕНИЮ
БЛОКИРОВАТЬСЯ	116223-V	ЗАДЕРЖАТЬ, ПРЕПЯТСТВОВАТЬ ДВИЖЕНИЮ
БЛОКИРОВАТЬСЯ	106533-V	ПРИОСТАНОВИТЬ
БЛОКИРОВАТЬСЯ	106882-V	ПРОТИВОДЕЙСТВОВАТЬ
БЛОКИРОВАТЬСЯ	111943-V	ОГРАНИЧИТЬ
