АБСОЛЮТИЗИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АБСОЛЮТИЗИРОВАТЬ	7237-V	УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ
АБСОЛЮТИЗИРОВАТЬ	141697-V	ПРЕДСТАВИТЬ В ВИДЕ
АБСОЛЮТИЗИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	106607-V	УПРАВЛЯТЬ, РУКОВОДИТЬ
АБСОЛЮТИЗИРОВАТЬ	7936-V	РЕФОРМА
АБСОЛЮТИЗИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АБСОЛЮТИЗИРОВАТЬ	119125-V	РАСПРОСТРАНИТЬСЯ, ПОЛУЧИТЬ РАСПРОСТРАНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	123550-V	УТОЧНИТЬ, СДЕЛАТЬ ТОЧНЕЕ
АБСОЛЮТИЗИРОВАТЬ	135851-V	ПРИДАТЬ СВОЙСТВО
АКТИВИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АКТИВИРОВАТЬ	4661-V	ОЗДОРОВЛЕНИЕ ПРИРОДЫ
АКТИВИРОВАТЬ	115759-V	СЖАТЬ (СОКРАТИТЬ)
АКТИВИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АКТИВИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АКТИВИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АКТИВИРОВАТЬ	7237-V	УПРАВЛЕНЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ
АКТИВИРОВАТЬ	6444-V	ЛИКВИДАЦИЯ ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ
АКТИВИРОВАТЬ	144157-V	ОЧИСТКА ОТ ВРЕДНЫХ ВЕЩЕСТВ
АКТИВИРОВАТЬ	5390-V	ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ
