АБСОЛЮТИЗИРОВАТЬ	116390-V	ИСКАЗИТЬ, ПРЕДСТАВИТЬ В ЛОЖНОМ СВЕТЕ
АБСОЛЮТИЗИРОВАТЬ	141697-V	ПРЕДСТАВИТЬ В ВИДЕ
АБСОЛЮТИЗИРОВАТЬ	149806-V	УТВЕРЖДАТЬ, ДЕЛАТЬ УТВЕРЖДЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	106877-V	ВЫСКАЗАТЬ МНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	117532-V	НАСТОЯТЬ НА СВОЕМ МНЕНИИ
АБСОЛЮТИЗИРОВАТЬ	106456-V	ВЫРАЗИТЬ (ПОКАЗАТЬ)
АБСОЛЮТИЗИРОВАТЬ	107692-V	ДАТЬ ВОЗМОЖНОСТЬ, ПОЗВОЛИТЬ
АБСОЛЮТИЗИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АБСОЛЮТИЗИРОВАТЬ	119125-V	РАСПРОСТРАНИТЬСЯ, ПОЛУЧИТЬ РАСПРОСТРАНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	106710-V	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
АКТИВИРОВАТЬ	106473-V	ОБУСЛАВЛИВАТЬ, СПОСОБСТВОВАТЬ
АКТИВИРОВАТЬ	121460-V	ОТКРЫТЬ ДОСТУП
АКТИВИРОВАТЬ	106485-V	ПЕРЕСТАТЬ, ПРЕКРАТИТЬ (ЧТО-ТО ДЕЛАТЬ)
АКТИВИРОВАТЬ	107417-V	ОТДЕЛИТЬ ЧАСТЬ ОТ ЦЕЛОГО
АКТИВИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АКТИВИРОВАТЬ	106704-V	МЕШАТЬ, СОЗДАВАТЬ ПРЕПЯТСТВИЕ
АКТИВИРОВАТЬ	107441-V	НАЧАТЬ, ПРИСТУПИТЬ, ПРИНЯТЬСЯ
АКТИВИРОВАТЬ	110474-V	ВЫЗВАТЬ, ПОРОДИТЬ
АКТИВИРОВАТЬ	153231-V	СНЯТИЕ ЗАПРЕТА
АКТИВИРОВАТЬ	120503-V	СТОПОРИТЬ (ОСТАНОВИТЬ ДВИЖЕНИЕ)
АМЕРИКАНИЗИРОВАТЬ	116390-V	ИСКАЗИТЬ, ПРЕДСТАВИТЬ В ЛОЖНОМ СВЕТЕ
АМЕРИКАНИЗИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АМЕРИКАНИЗИРОВАТЬ	106844-V	ВИДОИЗМЕНИТЬ
АМЕРИКАНИЗИРОВАТЬ	141697-V	ПРЕДСТАВИТЬ В ВИДЕ
АМЕРИКАНИЗИРОВАТЬ	129365-V	ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ
АМЕРИКАНИЗИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АМЕРИКАНИЗИРОВАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АМЕРИКАНИЗИРОВАТЬ	130530-V	ОБЕДНИТЬ СОДЕРЖАНИЕ
АМЕРИКАНИЗИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АМЕРИКАНИЗИРОВАТЬ	106682-V	ЗАМЕНИТЬ, НАЙТИ ЗАМЕНУ
АНОДИРОВАТЬ	143559-V	ПРОИЗВОДСТВО ЭНЕРГИИ
АНОДИРОВАТЬ	106495-V	ИЗГОТОВИТЬ, ВЫРАБОТАТЬ
АНОДИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АНОДИРОВАТЬ	106477-V	ПОЯВИТЬСЯ, ВОЗНИКНУТЬ, НАЧАТЬСЯ
АНОДИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АНОДИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АНОДИРОВАТЬ	106557-V	СОЕДИНИТЬ В ОДНО ЦЕЛОЕ
АНОДИРОВАТЬ	137256-V	ОТКЛЮЧИТЬ ОТ СЕТИ
АНОДИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АНОДИРОВАТЬ	9880-V	ДЕЗИНФЕКЦИЯ
БИНТОВАТЬ	111427-V	НАЛОЖИТЬ СВЕРХУ
БИНТОВАТЬ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
БИНТОВАТЬ	107326-V	КЛАСТЬ НА ПОВЕРХНОСТЬ
БИНТОВАТЬ	116334-V	ОБВЯЗАТЬ (ОБМОТАТЬ И ЗАВЯЗАТЬ)
БИНТОВАТЬ	111467-V	ВЯЗАНИЕ (РУКОДЕЛИЕ)
БИНТОВАТЬ	120969-V	ПЕРЕДЕЛАТЬ, СДЕЛАТЬ ЗАНОВО
БИНТОВАТЬ	112000-V	МОТАТЬ, НАКРУЧИВАТЬ
БИНТОВАТЬ	107602-V	ПОВТОРИТЬ, СДЕЛАТЬ ЕЩЕ РАЗ
БИНТОВАТЬ	115187-V	ОБМОТАТЬ, ОБКРУТИТЬ
